"example"	"label"
"Bayerische Grüne Abgeordnete, Dipl.Designerin, selbstständig, Wiariwui Verlag, Illustration, freie Grafik und Malerei, Gemeinderätin, Kreisrätin, zwei Töchter"	"1"
"Mitglied im #EUParlament Fachpolitische Sprecherin der ID-Fraktion für Frauenrechte sowie Kultur und Bildung als Koordinatorin in den Ausschüssen FEMM & CULT"	"6"
"Europaabgeordneter @fdp und @reneweurope | Sprecher für Umwelt & Gesundheit @fdpineuropa | Baden-Württemberger & Europäer | Retweet≠Endorsement"	"4"
"Tätig als Heilerziehungspfleger | Werkzeugmacher | 2017-2021 Mitglied des Deutschen Bundestag | parteilos | Geschichte & Politik | #GemeinsamZukunftgestalten ☀️"	"6"
"#AfD-Mitglied des Sächsischen Landtags #saxlt @AfD-SLT Kreisvorsitzender AfD-Dresden"	"5"
"Stellvertretende Fraktionsvorsitzende der CDU/CSU-Bundestagsfraktion Bundestagsabgeordnete der CSU für den Wahlkreis Aschaffenburg (227)."	"3"
"Ehemaliger Landtagsabgeordneter, Ratsmitglied, Sozialdemokrat, Hier auch als radelnder Familienmensch mit Hund, Camper und bekennender Schalker unterwegs."	"2"
"Bremer Bürgermeister, Kultursenator und Präsident des Senats, Sozialdemokrat, hier selbstgestrickt unterwegs"	"2"
"Oberbürgermeister a.D. , Stadt Halberstadt, Mitglied des Landtages Sachsen-Anhalt, Fraktion Die Linke"	"0"
"Das offizielle Twitter-Profil des Abgeordneten der AfD-Fraktion im Landtag Brandenburg."	"5"
"Grüner MdL @Landtag_Bayern / #Pflegepolitik / Senior*innenpolitik / Fachkrankenpfleger / #Ehrenamt / Vizepräsident @brkaktuell / Bio-Imker"	"1"
"Fraktionsvorsitzender @fdpfraktionlsa | stellv. Kreisvorsitzender @fdpHalleSaale | Team Silbersack twittert mit dem Kürzel (TAS)."	"4"
"MdB für Trier und Trier-Saarburg 2017-2021 | Ingenieur und Erfinder mit mehreren Patenten | Künstliche Intelligenz und Innovationen | @cdu @cdurlp @cducsubt"	"3"
"Bundesvorsitzender @Tafel_DE | MdB a.D. & MdL a.D."	"6"
"Unternehmer, 59, Vorsitzender des Vereins Freunde der Staatsreparatur e.V. und Stv. Vorsitzender des AfD-Bezirksverbandes Steglitz-Zehlendorf."	"5"
"Direkt gewählter Abgeordneter der CDU im Wahlkreis 29 Leipzig 3, Journalist, Verkehrspolitischer und Medienpolitischer Sprecher, Sächsischer Kultursenator"	"3"
"Bundestagsabgeordneter - für Freiheit, Gerechtigkeit und Solidarität - Beauftragter für Wasserstoff der SPD-Bundestagsfraktion"	"2"
"Bezirksvorsitzender @JUMittelfranken."	"3"
"Member #MEP @europeanparliament @eppgroup @cdu_csu_ep coordinator for @ep_singlemarket #digital #competition #EUswitzerland"	"3"
"Stadtsoziologe, Aktivist, parteilos aber parteiisch für die Interessen der Mieterinnen und Mieter. @AndrejHolm@berlin.social"	"6"
"Aachener Bundestagsabgeordneter @linksfraktion, Mitglied Parlamentarische Versammlung des Europarats (PACE). Das Team twittert mit."	"0"
"Hier twittern der Innen- und Sportsenator und sein Team (*ds)."	"6"
"MdL @AFD_Bayern_LT ???? | Gute Politik macht man nicht mit Links! | Spitzenkandidat #AfD Oberbayern | Direktkandidat RO-Ost #ltwby23 | @afd_bayern"	"5"
"Parlamentarische Staatssekretärin bei der Bundesministerin für Arbeit und Soziales, MdB"	"6"
"Spitzenkandidatin von Bündnis 90/Die Grünen Hessen, Ministerin für Wissenschaft und Kunst in Hessen und Abgeordnete im Hessischen Landtag aus Marburg"	"1"
"Mitglied des 20. Deutschen Bundestages, WK 50, Braunschweig, Kulturpolitische Sprecherin @fdpbt #immerweiterfunkeln #immerblaugelb"	"4"
"Seit 2017 SPD-Abgeordnete im Landtag von Nordrhein-Westfalen. Sprecherin der SPD-Landtagsfraktion für Gleichstellung und Frauen, Mitglied im Umweltausschuss."	"2"
"CDU-MdB für den Wahlkreis Steinfurt III, Bundesministerin a. D. - Impressum: https://t.co/8QX2nAkQQH"	"3"
"Feministin & begeisterte Homosexuelle| Späti-Fan| Milieuschützerin |"	"0"
"Designierte Präsidentin des @bde_presse und des @kirchentag_de | Ministerin a.D. | Hier privat."	"6"
"Die Größte Sehenswürdigkeit, die es gibt, ist die Welt - sieh sie dir an. Kurt Tucholsky,"	"6"
"Mitglied Verdi und im Geschäftsführenden Bundesvorstand des DGB"	"6"
"MdHB für Wahlkreis Hamburg Blankenese • Stellv. Vorsitzende der CDU Fraktion"	"3"
"Mit Kraft und Herz für das Saarland. Ministerpräsidentin des Saarlandes. SPD-Landesvorsitzende. Stellv. SPD-Bundesvorsitzende. Kulturbevollmächtigte ???? ????."	"2"
"Landtagsabgeordnete und Ortsvorsteherin aus Ludwigshafen"	"6"
"SPD-Landtagsabgeordnete für den Wahlkreis Rhein-Selz/Wonnegau im schönen Rheinhessen, für Sie ansprechbar. #FraktionRLPSPD Sprecherin für Gesundheitspolitik."	"2"
"French-german-swiss MEP, ecologist, mother, forester, nature protecter #Biodiversity #NewMobility, loves movement and transformation. Born 332 ppm. @GreensEFA"	"1"
"Senatorin für Justiz und Verbraucherschutz der Freien und Hansestadt Hamburg, @GRUENE_Hamburg, hier persönlich, cis, sie/she"	"1"
"???? - Staatsministerin im Auswärtigen Amt * MdB für Rheingau-Taunus – Limburg * Bündnis 90/Die Grünen (@gruenebundestag) * Persönlicher Kanal"	"1"
"Die #liberale #Stimme in der #hhbue | Tweets vom Team: (TT) |#Impressum: https://t.co/JyF8FXzGup"	"4"
"Für #Magdeburg im Landtag | Vizepräsidentin des @landtag_lsa"	"6"
"Westmünsterländerin / MdB / WK Borken II / CDU/CSU-Bundestagsfraktion"	"3"
"MdB @GrueneBundestag #NRW/ Ländliche Räume & Lebensmittelhandwerk/ Leiterin eines landwirtschaftl. Pferdebetriebes/ Unternehmensberaterin/ Promotion Mathematik"	"1"
"Bundestagsabgeordnete der #SPD aus Berlin #Mitte. Zuständige Berichterstatterin für das #Bürgergeld (Abschaffung Hartz IV) im Ausschuss für #Arbeit & #Soziales."	"2"
"Mitglied des Landtags von Baden-Württemberg (CDU)"	"3"
"Landtagsabgeordnete DIE LINKE/ Medienpolitik / Ländliche Regionen / Tourismus / Netzpolitik / Datenschutz / MDR Rundfunkrätin"	"0"
"Verkehrspolitische Sprecherin @GrueneFraktionB"	"1"
"Offizieller Account von Anton Baron | Fraktionsvorsitzender | Mitglied der #AfD-Fraktion im Landtag von Baden-Württemberg (#LtBW)"	"5"
"Direkt gewählte Abgeordnete für OHV-HVL (WK 58) zur BTW 21‘ für Dich. für morgen. jetzt. ??"	"6"
"✖️Mitglied des Deutschen Bundestages ✖️Finanzen & Digitales✖️Ein Herz für Fußball & soziale Gerechtigkeit"	"4"
"Mitglied des Deutschen Bundestages. Vizepräsident der Parlamentarischen Versammlung des Europarats. Ministerpräsident von Nordrhein-Westfalen 2017-2021"	"6"
"Bundestagsabgeordneter im Wahlkreis 167 Waldeck"	"6"
"Landtag @GrueneFrakNRW ??Abgeordneter für Köln Ehrenfeld/Nippes??Themen: Wohnen/Mobilität/Mentale Gesundheit/Queer ????Radfahrer ?? Kino/Kunst/Kultur ??"	"1"
"Seit dem 18.01.2019 Mitglied des hessischen Landtages für die AFD"	"5"
"Haushalts- und finanzpolitischer Sprecher der SPD in der Bremischen Bürgerschaft. Sprecher für Klima und Umwelt. Ökonom. Anti-Militarist. Frühsportler, ZEN-i"	"2"
"Mitglied der Hamburgischen Bürgerschaft, arbeitet beim BAföG-Amt Hamburg, engagiert sich als Personalrätin für die Interessen von 600 Kollegen/Innen, Mutter"	"6"
"Präsidentin @Landtag_Hessen"	"6"
"Astrid Rothe-Beinlich, BÜNDNIS 90/DIE GRÜNEN im Thüringer Landtag, Fraktionsvorsitzende, Stadträtin #refugeeswelcome Blockiere Nazis+Rassist*innen"	"1"
"Stellvertretender Parteivorsitzender DIE LINKE MdB, Sprecher für Krankenhaus- & Pflegepolitik und Drogenpolitik @linksfraktion"	"0"
"Aktuelle Nachrichten aus dem Auswärtigen Amt - Auf Englisch: @GermanyDiplo - Impressum, Datenschutz & Netiquette: https://t.co/RMILLWXov8"	"6"
"moving to mastodon: @awet@cultur.social Rechtsanwältin | Bundestagsabgeordnete Sie/ihr ??⚖️✊??"	"6"
"????????MEP for the Rhineland @cdu. @eppgroup coordinator in @EP_Legal. Works on #AI, #Metaverse and #duediligence. Account managed by team."	"3"
"Landtagsabgeordneter, Kreistag Osterholz, Gemeinderat Lilienthal"	"6"
"Staatssekretärin im Hessischen Ministerium für Wissenschaft und Kunst"	"6"
"Neuigkeiten und Kurznachrichten von PRO NRW"	"6"
"SPD-Landtagsfraktion Schleswig-Holstein, Parlamentarische Geschäftsführerin"	"2"
"Abgeordnete @buergerschafthh. Sprecherin für Kinder, Jugend und Familie @Gruene_Hamburg. Wahlkreis HH-Harburg. Hier twittern meine Mitarbeiterin und ich."	"1"
"Mitglied des Bundestages (MdB) | @GrueneBundestag | Ausschuss Klimaschutz und Energie | Dipl.-Wasserbauingenieur, Planer | #wk163 #Südwestsachsen #Bürgerenergie"	"1"
"Aktuelle Nachrichten aus dem Bundesministerium für Arbeit und Soziales. Alle Inhalte: !B. Impressum: https://t.co/kaENEp2V03"	"6"
"Hier twittert die Social-Media-Redaktion des Bundesministeriums für Bildung ?????? und Forschung ??????️. https://t.co/lsJKxdeL6U"	"6"
"Aktuelles aus dem Bundesministerium für Familie, Senioren, Frauen und Jugend. Impressum: https://t.co/mBaawJ7vCt"	"6"
"Mit verantwortungsvoller und zukunftsorientierter Finanzpolitik ein Klima für Innovation und Investition schaffen."	"6"
"Wir sind das Bundesgesundheitsministerium und kümmern uns um Gesundheitsthemen & Gesundheitspolitik. Impressum: https://t.co/hy8JJogwom"	"6"
"Willkommen auf dem Twitter-Kanal des BMI. Datenschutz: https://t.co/lZuQaWxRf8 Netiquette: https://t.co/cu2jvq1JUP"	"6"
"Fachanwalt für ???? #Mietrecht + ??️??️ #Baurecht bei JJ+P Jotzo & Partner - Rechtsanwälte | ?? Bezirksvorsitzender @fdpCW | @fdp_berlin"	"4"
"Für das Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz twittert das Social-Media-Team des #BMUV."	"6"
"Bundesministerium der Verteidigung. Presseanfragen nur via https://t.co/ZzaxS9pMUq | German MoD official | Also follow: @bundeswehrinfo"	"6"
"Aktuelles aus dem Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen. Unsere Ministerin twittert unter @klara_geywitz Datenschutz: https://t.co/msygIJxxO8"	"6"
"Hier twittert das Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ) / Entwicklungsministerium - Impressum: https://t.co/292RnLAOs2"	"6"
"Kandidat im Wahlkreis Kehl von @die_gruenen für die #Landtagswahl Baden Württemberg"	"1"
"Stimmkreisabgeordneter im Bayerischen Landtag"	"6"
"✳️ Bündnis 90/Die Grünen Thüringen"	"1"
"Wir sind ein Zusammenschluss aus über 120 Bürgerinitiativen: Die Brandenburger Vereinigten Bürgerbewegungen / Freie Wähler"	"6"
"Unternehmer, Seehotel Krakow am See, Jagdschule Falkenhorst, MdL Mecklenburg-Vorpommern, FDPMV, Landfrau und Dorfkind, Jäger und Bücherwurm, Freigeist"	"4"
"Parlamentarische Staatssekretärin BMZ und SPD-Bundestagsabgeordnete. Hier privat."	"2"
"Vizepräsidentin und Mitglied des Abgeordnetenhauses von Berlin; Sprecherin für Frauenpolitik und Gleichstellung @AGH_Berlin @gruenefraktionb she/her"	"1"
"Direkt gewählte Abgeordnete #nürnberg #nord #LTWBY2018 CSU"	"3"
"Abgeordneter | Volljurist⚖ | Arbeiterkind | Sozialdemokrat | In Hamburg-Billstedt aufgewachsen | Für eine??% tolerante, gerechte & soziale Gesellschaft"	"2"
"Abgeordneter der AfD im sächsischen Landtag. Haushalts- und Finanzpolitischer Sprecher Vorsitz Auschuss Regionalentwicklung Stadtrat in Dippoldiswalde"	"5"
"Alle Neuigkeiten rund um #leben #bauen #bewegen ??| Bauministerium ??????‍♂️??‍♀️????????⛪???????????? ??| Verkehrsministerium ??????????⛵??✈??????????????"	"6"
"Brücken bauen. Für die #Bergstraße im Hessischen Landtag #hlt | #CDU Sprecher für #Innenpolitik | Stellv. Vorsitzender CDU-Landtagsfraktion #Hessen #BauerMdL"	"3"
"Erlebnis-Bauernhof Kliewe auf der Insel Rügen - Urlaub auf dem Bauernhof - Hofladen & Restaurant - Reiten, Tiere, viele Freizeitangebote"	"6"
"Herzlich willkommen beim Bayerischen Staatsministerium des Innern, für Sport und Integration. Netiquette, Datenschutz und Impressum: https://t.co/vNwmvmhLqo."	"6"
"Servus, wir sind der Standort Bayern! ?? ?? Sprecht mit uns über die Themen Energiewende, Wasserstoff, Hightech & Start-ups. Impressum&Datenschutz??"	"6"
"#MachenStattSödern! Für ein bezahlbares Bayern. Für soziale Politik. Für Dich. https://t.co/ODUEyhtUu7"	"6"
"Hier zwitschert die Pressestelle der SPD-Fraktion im Bayerischen Landtag (#ltby)"	"2"
"??Seit 1926 : BESSER FÜR BAYERN .??"	"6"
"Landtagsabgeordnete des Wahlkreises 27 (Groß-Gerau) in Hessen."	"6"
"Mitglied des Bayerischen Landtags, Staatsministerin a.D. , Rechtsanwältin"	"6"
"sei freundlich und mutig. Vorpommerin. Grafikerin. Gärtnerin. Mama. MdL."	"6"
"Staatssekretärin a.D. @umwelthessen, Biologin"	"6"
"#MdB 20. Deutscher #Bundestag, stellv. Fraktionsvors. THERE IS NO SUCH THING AS „MY PRONOUN“ Tweets v. #BvS & Team. https://t.co/SJ6nKYW3cW"	"6"
"Fraktionsvorsitzender @GrueneLTBB & Sprecher für Justiz, Tierschutz/ Tierrechte. Mastodon: @ben_raschke@gruene.social"	"1"
"MdL in Rheinland-Pfalz"	"6"
"SPD Bundestagsfraktion | stellv. Sprecher f. Klima & Energie | AfA Vorsitzender Schleswig-Holstein | Erdgas | Windenergie | Netzausbau | vegan"	"2"
"Father of 3 sons / Minister & Head of State Chancellery @thueringende / @dielinke / my views / RT ≠ endorsements / Not the author of „The Tao of Pooh“ ???? ??✡️"	"0"
"Abgeordneter. Bürgermeister und Senator. Christdemokrat. Berlingestalter. Generalsekretär @cduberlin."	"3"
"MdB Dr. Bernd #Baumann, Wirtschaftswissenschaftler, #AfD Hamburg, 1. Parlamentarischer Geschäftsführer der @AfDimBundestag| @AfD"	"5"
"Rheinland-Pfälzer, Fraktionsmitglied von @grueneltrlp, #insGelingenverliebt"	"1"
"Ich bin SPD Bundestagsabgeordneter (Kreis Warendorf), Mitglied im Finanzausschuss und Sprecher für Bauen, Wohnen, Stadtentwicklung und Kommunen."	"2"
"Mitglied des Bay. Landtags, Vorsitzender des Landessportbeirates, sportpolitischer Sprecher und Beisitzer im Vorstand der CSU-Landtagsfraktion"	"3"
"Abgeordneter der @LinksfraktionB. Sprecher für Sportpolitik | Mitglied im Landesvorstand @dielinkeberlin"	"0"
"Ich bin ich!"	"6"
"Mitglied der Bremischen Bürgerschaft (seit 2019), Mitglied des Deutschen Bundestag (2013-2017), Impressum: https://t.co/6A2dGbL7kP…"	"6"
"MdB für den Märkischen Kreis ll / Mitglied im Sportausschuss l Mitglied im Auswärtigen Ausschuss l stellv. Mitglied im Ausschuss für wirts. Zusammenarbeit"	"6"
"Ministerin für Wissenschaft, Kultur, Bundes- und Europaangelegenheiten #MV | MdL südl. Vorpommern & Uckermark | hier privat unterwegs!"	"6"
"Fraktionsvorsitzende @gruenefraktionb | ?? für #Menschen #Klimaschutz #Zusammenhalt #ökosozial #ZeitFürGrün"	"1"
"Hier twittert das Team der Pressestelle des Thüringer Ministeriums für Bildung, Jugend und Sport – Datenschutz: https://t.co/8wegVtWKGp…"	"6"
"Hier twittert die Pressestelle des Ministeriums für Bildung Rheinland-Pfalz. Impressum: https://t.co/DoNEbOFgOf Netiquette: https://t.co/JAXbkuxOlP Datenschutz: https://t.co/8cDxD031RO"	"6"
"Hier twittert das Social-Media-Team des Ministeriums für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur des Landes Schleswig-Holstein."	"6"
"Hier twittert das Presseteam des Ministeriums für Schule und Bildung des Landes Nordrhein-Westfalen."	"6"
"Abgeordnete @gruenebundestag ?? • Ausschuss für Inneres & Heimat • Ausschuss für Digitales • @MisbahKhan@gruene.social"	"1"
"Landesvorsitzende #AfD #Brandenburg, Mitglied im Landtag Brandenburg + Kreistag Teltow-Fläming ??"	"5"
"???? Mitglied des @europarl_EN ??️ Sprecherin der @theprogressives im Ausschuss für bürgerliche Freiheiten, Justiz & Inneres ??Soest, NRW"	"6"
"Was mit Bildung. Bildungsfrau, mit viel politischer Erfahrung. Geforscht über #Bildungschancen in der #Kita. Jetzt unterwegs, um genau darüber zu diskutieren."	"6"
"Papa, Familienmensch, BVB-Fan und politischer Überzeugungstäter"	"6"
"Landessprecher und Fraktionsvorsitzender der AfD Thüringen"	"5"
"???? CDU-Bundestagsabgeordneter ?? Stadt- und Kreis Offenbach ✈️ Verkehrs- & ?? Umweltpolitiker"	"3"
"Seit 2002 Abgeordneter im Thüringer Landtag, seit 2009 mit Direktmandat. Mein Team und ich meinen: Mehr Demokratie wagen - Politik muss erklären, nicht belehren"	"6"
"parlamentarischer Geschäftsführer @linke_LTSachsen Sprecher für Klimaschutz, Energie & Mobilität. Klimaaktivist & Antifaschist. @linXXnet"	"0"
"Film, Kultur und Eisern."	"6"
"Ich heiße Elombo Bolayela und bin 25 Jahre alt. Familienvater,Im Betriebsrat,Kandidat 21 der SPD-Liste für die Bürgerschaftswahl am 22. Mai 2011"	"2"
"Im Landtag Brandenburg,für die Brandenburger Interessen"	"6"
"Carsten Borchert #CDU MdL #SachsenAnhalt #Salzwedel #Altmark"	"3"
"Hessischer Ministerpräsident @RegHessen. Hier twittert das Team von Boris Rhein (Red). https://t.co/pbBKBouwG2"	"6"
"Landtagsabgeordneter in Bayern für Bündnis 90 / Die Grünen"	"1"
"MdB für die #Südpfalz | Parl. Staatssekretär @bmbf_bund | @EYL20 | (TB) = Team Brandenburg"	"6"
"Politikerin. Mama. Stellvertr. Vors. CDU Deutschland, Bundestagsabgeordnete Oldenburger Münsterland. Echtes Landkind. Heimatliebe. Kann uk Platt verstaohn. Moin"	"3"
"Direkt gewählter Abgeordneter im Wahlkreis Nürnberg-Nord | Finanz- und haushaltspolitischer Sprecher der CSU im Deutschen Bundestag | Mitglied im CSU-Präsidium"	"3"
"Vorsitzende der Bundestagsfraktion Bündnis 90/Die Grünen ?? // Das Team tweetet unter: /TBH"	"1"
"Bundestagsabgeordneter für den Wahlkreis 122 - Recklinghausen II (Datteln, Haltern am See, Herten, Marl und Oer-Erkenschwick), NRW"	"6"
"Bundestagsabgeordneter für den Wahlkreis #Lübeck | Im Bundestag: Haushalt & Finanzen | Mitglied Lübecker Bürgerschaft | Parteirat @Gruene_SH | Psychologe MSc"	"1"
"Staatssekretär für Digitalisierung in Sachsen-Anhalt | Hier natürlich privat."	"6"
"#Freigeist | #Bayern | Bundestagsabgeordnete @fdpbt | Mitglied im Ausschuss für Inneres und Heimat | Mitglied im Petitionsausschuss"	"4"
"Abgeordnete @linksfraktionST im Landtag von Sachsen-Anhalt, Wahlkreis Köthen"	"0"
"| Mitglied des Europäischen Parlaments | #AfD- Delegation innerhalb der Fraktion Identität und Demokratie #MEP, #INTA, #IMCO, #ITRE"	"5"
"Eine Bürgerrechtsbewegung die für eine neue Weltwirtschaftsordnung kämpft - schaut euch die Welt an, wir brauchen dringend eine neue..."	"6"
"Heimatmensch für den ??südlichen #IlmKreis u. #Schmiedefeld. Parlamentarischer Geschäftsführer der @cdu_fraktion_th ????‍♂️ Mitglied des Landtag ??#bühlpacktan"	"3"
"Mitglied des Landtags Brandenburg #linke_ltbb Sprecher für Soziales, Verbraucherschutz, Verkehr und Religion #Zionist ???? עם ישראל חי FCKBDS"	"0"
"Mitglied des Landtages von Sachsen-Anhalt | ehemaliges Mitglied des Deutschen Bundestages | Stadtrat der Hansestadt Stendal"	"6"
"Hier twittert das Social-Media-Team der Beauftragten der BReg für Kultur und Medien. Netiquette: https://t.co/EJZSVApZO2"	"6"
"Sprecherin für Familie und Bildung der @gruenefraktionb im @agh_berlin | Direktgewählte Abgeordnete aus Friedrichshain-Kreuzberg. Rechtsanwältin."	"1"
"stellv. Vorsitzender Eisenbahn- und Verkehrsgewerkschaft (EVG); ehem. Mitglied des Deutschen Bundestages für die SPD (2005-01/2020)"	"2"
"Mitglied des Europäischen Parlaments"	"6"
"#MdL, Parlamentarischer Geschäftsführer und Sprecher für Innenpolitik und Justiz- #gruene #gruenerlp #ltrlp #koblenz #rlp"	"1"
"Die #CDU ist die Volkspartei der Mitte. Seit 1925. - Redaktion: https://t.co/NyHUkYQYT2 Impressum: https://t.co/ItwaUKUbve"	"3"
