text,prediction,true label
Demokratie stärken. Klima schützen. Parlamentarischer Geschäftsführer @GrueneBundestag Direkt im #Bundestag für HH-#Eimsbüttel @TillausEimsbuettel@det.social,0,
"Abgeordneter im #ltmv | Parl. Geschäftsführer der @spdLandtagMV | #Energiepolitik, #Netzpolitik, #Digitalisierung | RT/Fav bedeutet nicht Zustimmung",0,
Für den Erhalt unserer Lebensgrundlagen und eine geschlechtergerechte Welt 🌱 #Klimaschutz #Feminismus,0,
"MdL & Sprecherin Umwelt, Energie, Klimaschutz",0,
MdB für Hameln-Pyrmont-Holzminden | Rechtspolitischer Sprecher bei @GrueneBundestag Politicial Sponsor #MohammadMehdiKarami + #AndreiPaheryla,0,
Europa und Internationales || Nachhaltigkeit || Bildung || Sport,0,
"MdL @fdpfraktionnrw | 📣 Schule, Gleichstellung & Queer | @mue_re auf Insta 📸| #BonnUltra | she/her | Straight Ally 🏳️‍🌈🏳️‍⚧️ | Effzeh | Rheuma | #NAFO",0,
"Aufklärung, es geht immer um Aufklärung.🏳️‍🌈 🇪🇺 Saarländer. Sozi.",0,
"Hier bloggen Kerstin Köditz (MdL @LINKE_LTSachsen) und ihr Team. Sprecherin für #antifa|schistische Politik, #NSU|UA @sax_lt",0,
"parlamentarischer Geschäftsführer @linke_LTSachsen
Sprecher für Klimaschutz, Energie & Mobilität.
Klimaaktivist & Antifaschist. @linXXnet",0,
"Fraktionsvorsitzende DIE LINKE. Landtag LSA, Netzwerk gegen Kinderarmut, Präsidium AWO",0,
"FDP MdL SH (2017-2022), Digital Guy, #FreeUkraine #Bürgerrechte  #Innovation #Skydive|r #Travel @fdpfraktionsh #ltsh  #SaveMyInternet",0,
Abgeordnete Thüringen |Innen- und Kommunalpolitik | Kultur- Europa- Medien- und Netzpolitik | Antifaschismus und Demokratie | BÜNDNIS 90/GRÜNEN,0,
"#MdL #LINKE #Thüringen / #Antifaschismus, #Antirassismus #NSU-Aufklärung / Das Private ist politisch / still ❤️ #Antifa",0,
"MdL @spdthl ,Sprecherin für Innen🚨,Recht⚖️,Europa🇪🇺,Digitales📲 Verfassungspatriotin🏛",0,
Vorsitzender @cdu_thueringen & @cdu_fraktion_th 🗣 • Fußballexperte @fccarlzeissjena ⚽️,0,
Mensch,0,
Für die Region Schwarzenberg im Sächsischen Landtag - für die CDU.,0,
"MdB aus Böblingen | Digital- & Außenpolitik für @gruenebundestag | @ditisschade | Digitale Außenpolitik, Nordafrika, Datenökonomie & EU-transatlant. Beziehungen",0,
Finanzpolitische Sprecherin + Leiterin AG Finanzen @gruenebundestag | Wahlhamburgerin ⚓ Wahlkreis @GRUENE_Nord | Unternehmensberaterin mit ❤️ | @fcstpauli🥳,0,
Klimapolitischer Sprecher 🌍 / Meerespolitik 🌊 / Auswärtiges 🗺 für Freie Demokraten @fdpbt,0,
Ernst,0,
"Ökonom | Bundestagsabgeordneter für den WK Emmendingen-Lahr | Haushalt, Finanzen und Europa @cducsubt @cdu | davor: Volkswirt @EuckenInstitut",0,
"Fight racism! Fight sexism!
Grüne Bundestagsabgeordnete @gruenebundestag für den Kreis Minden-Lübbecke (NRW)",0,
Grünes Mitglied des Bundestages. Klimapolitikerin + Aktivistin für #Klimagerechtigkeit & das Ende des fossilen Zeitalters #ClimateJustice #EndFossilFuels / She,0,
(she/her) SPD. MdB. Mecklenburg-Vorpommern. stellv. Vors. Digitalausschuss. Feministin. Europäerin. Greifswalderin. Dorfkind. Im Internet zuhause.,0,
Grüne Ideen,0,
Feministin 🚺 🏳️‍🌈 Grüne Bundestagsabgeordnete #Frauen #Queer #Lesben #Equalrights #Menschenrechte #Kultur #FeminismUnited - Film- u. Fernsehwissenschaftlerin,0,
MdB für NDS @fdpbt • Ausschuss für Arbeit u. Soziales • Finanzausschuss • Generationengerechtigkeit • Liebe zum Norden • jubeln @fcstpauli,0,
MdB im Landkreis Konstanz | Kreisrätin | @spdbt | #firstgenerationstudent | fighting educational inequality | she/her,0,
IP: 67.68.85.101. Manchmal irritiert. Manchmal besorgt. Aber immer interessiert.,0,
"🌻💚 direkt gewählte Abgeordnete @agh_berlin Brunnenviertel, Leo und Sprengelkiez 📚 W-Ing @TUberlin she/her",0,
"Hier parteilich für DIE LINKE antifaschistisch, solidarisch, manchmal sarkastisch, nicht immer politisch korrekt",0,
"AfD MdL aus Schwerin, Dipl.-Kfm., Finanzberater, Journalist",0,
"Publizistin, Netzaktivistin u Bundestagsabgeordnete (MP) für DIE LINKE. Weil digitale Revolution eine soziale Revolution braucht ❤️✊❤️",0,
"Was mit Bildung. Bildungsfrau, mit viel politischer Erfahrung. Geforscht über #Bildungschancen in der #Kita. Jetzt unterwegs, um genau darüber zu diskutieren.",0,
"Systeme überwinden, die uns kaputt machen: Kolonialismus/Kapitalismus/Rassismus/white supremacy/Antisemitismus/Patriarchat/cis-Heteronormativität/Ableismus",0,
"Warum es uns geben muss, ist hier nachzulesen. https://t.co/EzC8ij7xZM",0,
Flexible,0,
Der vom SSW @Bundestag für den hohen Norden • Minderheiten • Küstenschutz • Verkehr • Regionalität • Ostseekooperation • Davor: 🇩🇰🇩🇪🇪🇺Koordinator @land_sh,0,
MdB Schwerin & Westmecklenburg | Staatsministerin - Beauftragte für @IntegrationBund & Antirassismus-Beauftragte | Sozialdemokratin,0,
MdB #Bündnis90/DieGrünen🌻 | Mother of 3 ☘️ | Mobilität 🚲👣 & Feminismus 💪🏻 | sie/ihr | *337ppm,0,
🏛️ MdB @Die_Gruenen im Gesundheitsausschuss |🚑 Kinderarzt in Weiterbildung |🚲 Fan von Fahrrädern & evidenzbasierter Medizin | #Klimakrise = #Gesundheitskrise,0,
"MdB für Steglitz-Zehlendorf, Klimapolitiker, Vors. der KlimaUnion, Justizsenator a.D., Unternehmer, Autor vom #NEUSTAAT, CDU | Team kommentiert mit /TTH 🇺🇦",0,
Unsere MdL: @Astrid_RB @henfling_m @OMueller_Jena @BPfefferlein @laura_wahl_ / https://t.co/BLicoEdM2a / https://t.co/FIaDiGgHMj,0,
"Sozialdemokratin, Feministin, Mutter. Will die Welt gerechter machen. Positive Energie und gute Ideen sind willkommen, Hass& Drohungen werden angezeigt",0,
neugierig,0,
"Wir bringen unser Land seit 1990 #gemeinsaMVoran. Uns geht‘s um soziale Gerechtigkeit, starke Wirtschaft und intakte Natur. Bist du dabei? 🚀",0,
"Für ein starkes, demokratisches, soziales, weltoffenes & klimaneutrales MV: BÜNDNIS 90/DIE GRÜNEN MV im Landtag 🌻🌳🦌🐠🌈⚓️👩🏻‍🤝‍👨🏽🌎💚 #GrünimSchloss",0,
it,0,
"Neues aus Kultur, Tourismus, Politik, Wirtschaft, Wissenschaft und Sport. Die Redaktion von https://t.co/K5y0TibUQl",0,
"Politik, Polemik und ein hauch privates🐨               
1,5° Ultra🌻🌍
#fckafd",0,
Pressestelle Wirtschaftsministerium,0,
Willkommen auf dem Twitter-Kanal des BMI. Datenschutz: https://t.co/lZuQaWxRf8 Netiquette: https://t.co/cu4jvq1JUP,0,
Hier twittert die Social-Media-Redaktion des Bundesministeriums für Bildung 📐🏫💻 und Forschung 🔬🌎🛳️. https://t.co/lsJKxdeL6U,0,
Mit verantwortungsvoller und zukunftsorientierter Finanzpolitik ein Klima für Innovation und Investition schaffen.,0,
"Daten, #Fakten, Informationen: Tweets vom Team Staatsministerin der Bundesregierung für #Migration, #Flüchtlinge #Integration und #Antirassismus @ReemAlabali",0,
Auf Grün kommt’s an!,0,
