"example"	"label"
"Hier twittert der bayerische AfD-Landesverband | (@AfD_Bayern)| https://t.co/ang6dbmdzp | Jetzt auch im Landtag | https://t.co/uPacAhaqEs"	"5 AfD: ökonomisch rechts + autoritär"
"Hier twittert die bayerische AfD-Landtagsfraktion | (@AfD_Bayern_LT)| Folgt uns | Unterstützt uns | https://t.co/XeV31M2GuL… |"	"5 AfD: ökonomisch rechts + autoritär"
"Wir sind der Landesverband Mecklenburg-Vorpommern der Alternative für Deutschland"	"5 AfD: ökonomisch rechts + autoritär"
"Der Landesverband der Alternative für Deutschland in Rheinland-Pfalz"	"5 AfD: ökonomisch rechts + autoritär"
"Twitteraccount des Landesverbandes Thüringen der Alternative für Deutschland (#AfD) | Facebook: https://t.co/BricD2hGeF"	"5 AfD: ökonomisch rechts + autoritär"
"Eugen Schmidt, das Netzwerk '#Russlanddeutsche für die #AfD', kontakt@russlanddeutsche-afd.nrw, https://t.co/kd7sjnezhg, https://t.co/ro6SKdS0vb, https://t.co/SWXVENwklt"	"5 AfD: ökonomisch rechts + autoritär"
"Mitglied des Landtags von MV, Agrarpolitischer Sprecher, Landesschatzmeister, Vorsitzender des AfD Kreisverbands VG, Mitglied des Kreistags VG"	"5 AfD: ökonomisch rechts + autoritär"
"Mitglied des sächsischen Landtags @spdsaxlt #saxlt Stadtvorsitzender der SPD Dresden @spd_dresden"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Mitglied des Sächsischen Landtags & Generalsekretär der @cdusachsen"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Sozialdemokrat. Pfälzer. Minister für #Arbeit #Soziales #Transformation und #Digitalisierung. Für die #Südpfalz im Landtag #RLP. 1.FC Kaiserslautern und ??"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Direkt gewählter Abgeordneter für Bad Tölz-Wolfratshausen und Miesbach. Europa & Auswärtiges, manchmal noch Finanzen. Europapolitischer Sprecher der CSU im BT."	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Politikwissenschaftler - Dr. phil.; ehem. MdB Verteidigungsausschuss; Publizist Außen-, Sicherheits- und Geopolitik."	"6 keine Kategorie"
"#standwithUkraine ?????? Member of EU Parliament @die_gruenen | Vice-President @GreensEFA?? | she/her | TG = Team Geese | ➡️ Mastodon alexandrageese@bonn.social"	"1 Grüne: ökonomisch neutral + libertär"
"Mitglied des Landtags Nordrhein-Westfalen | Jüngster Abgeordneter | 27 | Freie Demokraten | Jura-Student | Insta: _brockmeier"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Fraktionsvorsitzende der @AfDimBundestag | AfD-Bundessprecherin"	"5 AfD: ökonomisch rechts + autoritär"
"Warum es uns geben muss, ist hier nachzulesen. https://t.co/EzC8ij7xZM"	"6 keine Kategorie"
"Vorsitzender des Finanzausschusses im Deutschen Bundestag @cducsubt MdB WK #StraubingBogen #Gäuboden und #Regen #Arberland"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"⚖️ Rechtsanwalt * WESHALB - DESHALB WARUM - DARUM WESWEGEN - DESWEGEN WOFÜR - DAFÜR WOZU - DAZU. ABER NICHT: WIESO - DIESO!"	"6 keine Kategorie"
"Abgeordnete der Hamburgischen Bürgerschaft ??"	"6 keine Kategorie"
"Stv. Fraktionsvorsitzender @GrueneBundestag | Finanzen, Haushalt, Wirtschaft, Arbeit, Soziales | Im Bundestag für Neukölln | Mastodon @anaudretsch@gruene.social"	"1 Grüne: ökonomisch neutral + libertär"
"Bayerische Grüne Abgeordnete, Dipl.Designerin, selbstständig, Wiariwui Verlag, Illustration, freie Grafik und Malerei, Gemeinderätin, Kreisrätin, zwei Töchter"	"1 Grüne: ökonomisch neutral + libertär"
"Mitglied im #EUParlament Fachpolitische Sprecherin der ID-Fraktion für Frauenrechte sowie Kultur und Bildung als Koordinatorin in den Ausschüssen FEMM & CULT"	"6 keine Kategorie"
"Europaabgeordneter @fdp und @reneweurope | Sprecher für Umwelt & Gesundheit @fdpineuropa | Baden-Württemberger & Europäer | Retweet≠Endorsement"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Tätig als Heilerziehungspfleger | Werkzeugmacher | 2017-2021 Mitglied des Deutschen Bundestag | parteilos | Geschichte & Politik | #GemeinsamZukunftgestalten ☀️"	"6 keine Kategorie"
"#AfD-Mitglied des Sächsischen Landtags #saxlt @AfD-SLT Kreisvorsitzender AfD-Dresden"	"5 AfD: ökonomisch rechts + autoritär"
"Stellvertretende Fraktionsvorsitzende der CDU/CSU-Bundestagsfraktion Bundestagsabgeordnete der CSU für den Wahlkreis Aschaffenburg (227)."	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Ehemaliger Landtagsabgeordneter, Ratsmitglied, Sozialdemokrat, Hier auch als radelnder Familienmensch mit Hund, Camper und bekennender Schalker unterwegs."	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Bremer Bürgermeister, Kultursenator und Präsident des Senats, Sozialdemokrat, hier selbstgestrickt unterwegs"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Oberbürgermeister a.D. , Stadt Halberstadt, Mitglied des Landtages Sachsen-Anhalt, Fraktion Die Linke"	"0 Linke: ökonomisch links + libertär"
"Das offizielle Twitter-Profil des Abgeordneten der AfD-Fraktion im Landtag Brandenburg."	"5 AfD: ökonomisch rechts + autoritär"
"Grüner MdL @Landtag_Bayern / #Pflegepolitik / Senior*innenpolitik / Fachkrankenpfleger / #Ehrenamt / Vizepräsident @brkaktuell / Bio-Imker"	"1 Grüne: ökonomisch neutral + libertär"
"Fraktionsvorsitzender @fdpfraktionlsa | stellv. Kreisvorsitzender @fdpHalleSaale | Team Silbersack twittert mit dem Kürzel (TAS)."	"4 FDP: ökonomisch rechts + libertär/autoritär"
"MdB für Trier und Trier-Saarburg 2017-2021 | Ingenieur und Erfinder mit mehreren Patenten | Künstliche Intelligenz und Innovationen | @cdu @cdurlp @cducsubt"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Bundesvorsitzender @Tafel_DE | MdB a.D. & MdL a.D."	"6 keine Kategorie"
"Unternehmer, 59, Vorsitzender des Vereins Freunde der Staatsreparatur e.V. und Stv. Vorsitzender des AfD-Bezirksverbandes Steglitz-Zehlendorf."	"5 AfD: ökonomisch rechts + autoritär"
"Direkt gewählter Abgeordneter der CDU im Wahlkreis 29 Leipzig 3, Journalist, Verkehrspolitischer und Medienpolitischer Sprecher, Sächsischer Kultursenator"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Bundestagsabgeordneter - für Freiheit, Gerechtigkeit und Solidarität - Beauftragter für Wasserstoff der SPD-Bundestagsfraktion"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Bezirksvorsitzender @JUMittelfranken."	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Member #MEP @europeanparliament @eppgroup @cdu_csu_ep coordinator for @ep_singlemarket #digital #competition #EUswitzerland"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Stadtsoziologe, Aktivist, parteilos aber parteiisch für die Interessen der Mieterinnen und Mieter. @AndrejHolm@berlin.social"	"6 keine Kategorie"
"Aachener Bundestagsabgeordneter @linksfraktion, Mitglied Parlamentarische Versammlung des Europarats (PACE). Das Team twittert mit."	"0 Linke: ökonomisch links + libertär"
"Hier twittern der Innen- und Sportsenator und sein Team (*ds)."	"6 keine Kategorie"
"MdL @AFD_Bayern_LT ???? | Gute Politik macht man nicht mit Links! | Spitzenkandidat #AfD Oberbayern | Direktkandidat RO-Ost #ltwby23 | @afd_bayern"	"5 AfD: ökonomisch rechts + autoritär"
"Parlamentarische Staatssekretärin bei der Bundesministerin für Arbeit und Soziales, MdB"	"6 keine Kategorie"
"Spitzenkandidatin von Bündnis 90/Die Grünen Hessen, Ministerin für Wissenschaft und Kunst in Hessen und Abgeordnete im Hessischen Landtag aus Marburg"	"1 Grüne: ökonomisch neutral + libertär"
"Mitglied des 20. Deutschen Bundestages, WK 50, Braunschweig, Kulturpolitische Sprecherin @fdpbt #immerweiterfunkeln #immerblaugelb"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Seit 2017 SPD-Abgeordnete im Landtag von Nordrhein-Westfalen. Sprecherin der SPD-Landtagsfraktion für Gleichstellung und Frauen, Mitglied im Umweltausschuss."	"2 SPD: ökonomisch neutral + libertär/autoritär"
"CDU-MdB für den Wahlkreis Steinfurt III, Bundesministerin a. D. - Impressum: https://t.co/8QX2nAkQQH"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Feministin & begeisterte Homosexuelle| Späti-Fan| Milieuschützerin |"	"0 Linke: ökonomisch links + libertär"
"Designierte Präsidentin des @bde_presse und des @kirchentag_de | Ministerin a.D. | Hier privat."	"6 keine Kategorie"
"Die Größte Sehenswürdigkeit, die es gibt, ist die Welt - sieh sie dir an. Kurt Tucholsky,"	"6 keine Kategorie"
"Mitglied Verdi und im Geschäftsführenden Bundesvorstand des DGB"	"6 keine Kategorie"
"MdHB für Wahlkreis Hamburg Blankenese • Stellv. Vorsitzende der CDU Fraktion"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Mit Kraft und Herz für das Saarland. Ministerpräsidentin des Saarlandes. SPD-Landesvorsitzende. Stellv. SPD-Bundesvorsitzende. Kulturbevollmächtigte ???? ????."	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Landtagsabgeordnete und Ortsvorsteherin aus Ludwigshafen"	"6 keine Kategorie"
"SPD-Landtagsabgeordnete für den Wahlkreis Rhein-Selz/Wonnegau im schönen Rheinhessen, für Sie ansprechbar. #FraktionRLPSPD Sprecherin für Gesundheitspolitik."	"2 SPD: ökonomisch neutral + libertär/autoritär"
"French-german-swiss MEP, ecologist, mother, forester, nature protecter #Biodiversity #NewMobility, loves movement and transformation. Born 332 ppm. @GreensEFA"	"1 Grüne: ökonomisch neutral + libertär"
"Senatorin für Justiz und Verbraucherschutz der Freien und Hansestadt Hamburg, @GRUENE_Hamburg, hier persönlich, cis, sie/she"	"1 Grüne: ökonomisch neutral + libertär"
"???? - Staatsministerin im Auswärtigen Amt * MdB für Rheingau-Taunus – Limburg * Bündnis 90/Die Grünen (@gruenebundestag) * Persönlicher Kanal"	"1 Grüne: ökonomisch neutral + libertär"
"Die #liberale #Stimme in der #hhbue | Tweets vom Team: (TT) |#Impressum: https://t.co/JyF8FXzGup"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Für #Magdeburg im Landtag | Vizepräsidentin des @landtag_lsa"	"6 keine Kategorie"
"Westmünsterländerin / MdB / WK Borken II / CDU/CSU-Bundestagsfraktion"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"MdB @GrueneBundestag #NRW/ Ländliche Räume & Lebensmittelhandwerk/ Leiterin eines landwirtschaftl. Pferdebetriebes/ Unternehmensberaterin/ Promotion Mathematik"	"1 Grüne: ökonomisch neutral + libertär"
"Bundestagsabgeordnete der #SPD aus Berlin #Mitte. Zuständige Berichterstatterin für das #Bürgergeld (Abschaffung Hartz IV) im Ausschuss für #Arbeit & #Soziales."	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Mitglied des Landtags von Baden-Württemberg (CDU)"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Landtagsabgeordnete DIE LINKE/ Medienpolitik / Ländliche Regionen / Tourismus / Netzpolitik / Datenschutz / MDR Rundfunkrätin"	"0 Linke: ökonomisch links + libertär"
"Verkehrspolitische Sprecherin @GrueneFraktionB"	"1 Grüne: ökonomisch neutral + libertär"
"Offizieller Account von Anton Baron | Fraktionsvorsitzender | Mitglied der #AfD-Fraktion im Landtag von Baden-Württemberg (#LtBW)"	"5 AfD: ökonomisch rechts + autoritär"
"Direkt gewählte Abgeordnete für OHV-HVL (WK 58) zur BTW 21‘ für Dich. für morgen. jetzt. ??"	"6 keine Kategorie"
"✖️Mitglied des Deutschen Bundestages ✖️Finanzen & Digitales✖️Ein Herz für Fußball & soziale Gerechtigkeit"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Mitglied des Deutschen Bundestages. Vizepräsident der Parlamentarischen Versammlung des Europarats. Ministerpräsident von Nordrhein-Westfalen 2017-2021"	"6 keine Kategorie"
"Bundestagsabgeordneter im Wahlkreis 167 Waldeck"	"6 keine Kategorie"
"Landtag @GrueneFrakNRW ??Abgeordneter für Köln Ehrenfeld/Nippes??Themen: Wohnen/Mobilität/Mentale Gesundheit/Queer ????Radfahrer ?? Kino/Kunst/Kultur ??"	"1 Grüne: ökonomisch neutral + libertär"
"Seit dem 18.01.2019 Mitglied des hessischen Landtages für die AFD"	"5 AfD: ökonomisch rechts + autoritär"
"Haushalts- und finanzpolitischer Sprecher der SPD in der Bremischen Bürgerschaft. Sprecher für Klima und Umwelt. Ökonom. Anti-Militarist. Frühsportler, ZEN-i"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Mitglied der Hamburgischen Bürgerschaft, arbeitet beim BAföG-Amt Hamburg, engagiert sich als Personalrätin für die Interessen von 600 Kollegen/Innen, Mutter"	"6 keine Kategorie"
"Präsidentin @Landtag_Hessen"	"6 keine Kategorie"
"Astrid Rothe-Beinlich, BÜNDNIS 90/DIE GRÜNEN im Thüringer Landtag, Fraktionsvorsitzende, Stadträtin #refugeeswelcome Blockiere Nazis+Rassist*innen"	"1 Grüne: ökonomisch neutral + libertär"
"Stellvertretender Parteivorsitzender DIE LINKE MdB, Sprecher für Krankenhaus- & Pflegepolitik und Drogenpolitik @linksfraktion"	"0 Linke: ökonomisch links + libertär"
"Aktuelle Nachrichten aus dem Auswärtigen Amt - Auf Englisch: @GermanyDiplo - Impressum, Datenschutz & Netiquette: https://t.co/RMILLWXov8"	"6 keine Kategorie"
"moving to mastodon: @awet@cultur.social Rechtsanwältin | Bundestagsabgeordnete Sie/ihr ??⚖️✊??"	"6 keine Kategorie"
"????????MEP for the Rhineland @cdu. @eppgroup coordinator in @EP_Legal. Works on #AI, #Metaverse and #duediligence. Account managed by team."	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Landtagsabgeordneter, Kreistag Osterholz, Gemeinderat Lilienthal"	"6 keine Kategorie"
"Staatssekretärin im Hessischen Ministerium für Wissenschaft und Kunst"	"6 keine Kategorie"
"Neuigkeiten und Kurznachrichten von PRO NRW"	"6 keine Kategorie"
"SPD-Landtagsfraktion Schleswig-Holstein, Parlamentarische Geschäftsführerin"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Abgeordnete @buergerschafthh. Sprecherin für Kinder, Jugend und Familie @Gruene_Hamburg. Wahlkreis HH-Harburg. Hier twittern meine Mitarbeiterin und ich."	"1 Grüne: ökonomisch neutral + libertär"
"Mitglied des Bundestages (MdB) | @GrueneBundestag | Ausschuss Klimaschutz und Energie | Dipl.-Wasserbauingenieur, Planer | #wk163 #Südwestsachsen #Bürgerenergie"	"1 Grüne: ökonomisch neutral + libertär"
"Aktuelle Nachrichten aus dem Bundesministerium für Arbeit und Soziales. Alle Inhalte: !B. Impressum: https://t.co/kaENEp2V03"	"6 keine Kategorie"
"Hier twittert die Social-Media-Redaktion des Bundesministeriums für Bildung ?????? und Forschung ??????️. https://t.co/lsJKxdeL6U"	"6 keine Kategorie"
"Aktuelles aus dem Bundesministerium für Familie, Senioren, Frauen und Jugend. Impressum: https://t.co/mBaawJ7vCt"	"6 keine Kategorie"
"Mit verantwortungsvoller und zukunftsorientierter Finanzpolitik ein Klima für Innovation und Investition schaffen."	"6 keine Kategorie"
"Wir sind das Bundesgesundheitsministerium und kümmern uns um Gesundheitsthemen & Gesundheitspolitik. Impressum: https://t.co/hy8JJogwom"	"6 keine Kategorie"
"Willkommen auf dem Twitter-Kanal des BMI. Datenschutz: https://t.co/lZuQaWxRf8 Netiquette: https://t.co/cu2jvq1JUP"	"6 keine Kategorie"
"Fachanwalt für ???? #Mietrecht + ??️??️ #Baurecht bei JJ+P Jotzo & Partner - Rechtsanwälte | ?? Bezirksvorsitzender @fdpCW | @fdp_berlin"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Für das Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz twittert das Social-Media-Team des #BMUV."	"6 keine Kategorie"
"Bundesministerium der Verteidigung. Presseanfragen nur via https://t.co/ZzaxS9pMUq | German MoD official | Also follow: @bundeswehrinfo"	"6 keine Kategorie"
"Aktuelles aus dem Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen. Unsere Ministerin twittert unter @klara_geywitz Datenschutz: https://t.co/msygIJxxO8"	"6 keine Kategorie"
"Hier twittert das Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ) / Entwicklungsministerium - Impressum: https://t.co/292RnLAOs2"	"6 keine Kategorie"
"Kandidat im Wahlkreis Kehl von @die_gruenen für die #Landtagswahl Baden Württemberg"	"1 Grüne: ökonomisch neutral + libertär"
"Stimmkreisabgeordneter im Bayerischen Landtag"	"6 keine Kategorie"
"✳️ Bündnis 90/Die Grünen Thüringen"	"1 Grüne: ökonomisch neutral + libertär"
"Wir sind ein Zusammenschluss aus über 120 Bürgerinitiativen: Die Brandenburger Vereinigten Bürgerbewegungen / Freie Wähler"	"6 keine Kategorie"
"Unternehmer, Seehotel Krakow am See, Jagdschule Falkenhorst, MdL Mecklenburg-Vorpommern, FDPMV, Landfrau und Dorfkind, Jäger und Bücherwurm, Freigeist"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Parlamentarische Staatssekretärin BMZ und SPD-Bundestagsabgeordnete. Hier privat."	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Vizepräsidentin und Mitglied des Abgeordnetenhauses von Berlin; Sprecherin für Frauenpolitik und Gleichstellung @AGH_Berlin @gruenefraktionb she/her"	"1 Grüne: ökonomisch neutral + libertär"
"Direkt gewählte Abgeordnete #nürnberg #nord #LTWBY2018 CSU"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Abgeordneter | Volljurist⚖ | Arbeiterkind | Sozialdemokrat | In Hamburg-Billstedt aufgewachsen | Für eine??% tolerante, gerechte & soziale Gesellschaft"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Abgeordneter der AfD im sächsischen Landtag. Haushalts- und Finanzpolitischer Sprecher Vorsitz Auschuss Regionalentwicklung Stadtrat in Dippoldiswalde"	"5 AfD: ökonomisch rechts + autoritär"
"Alle Neuigkeiten rund um #leben #bauen #bewegen ??| Bauministerium ??????‍♂️??‍♀️????????⛪???????????? ??| Verkehrsministerium ??????????⛵??✈??????????????"	"6 keine Kategorie"
"Brücken bauen. Für die #Bergstraße im Hessischen Landtag #hlt | #CDU Sprecher für #Innenpolitik | Stellv. Vorsitzender CDU-Landtagsfraktion #Hessen #BauerMdL"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Erlebnis-Bauernhof Kliewe auf der Insel Rügen - Urlaub auf dem Bauernhof - Hofladen & Restaurant - Reiten, Tiere, viele Freizeitangebote"	"6 keine Kategorie"
"Herzlich willkommen beim Bayerischen Staatsministerium des Innern, für Sport und Integration. Netiquette, Datenschutz und Impressum: https://t.co/vNwmvmhLqo."	"6 keine Kategorie"
"Servus, wir sind der Standort Bayern! ?? ?? Sprecht mit uns über die Themen Energiewende, Wasserstoff, Hightech & Start-ups. Impressum&Datenschutz??"	"6 keine Kategorie"
"#MachenStattSödern! Für ein bezahlbares Bayern. Für soziale Politik. Für Dich. https://t.co/ODUEyhtUu7"	"6 keine Kategorie"
"Hier zwitschert die Pressestelle der SPD-Fraktion im Bayerischen Landtag (#ltby)"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"??Seit 1926 : BESSER FÜR BAYERN .??"	"6 keine Kategorie"
"Landtagsabgeordnete des Wahlkreises 27 (Groß-Gerau) in Hessen."	"6 keine Kategorie"
"Mitglied des Bayerischen Landtags, Staatsministerin a.D. , Rechtsanwältin"	"6 keine Kategorie"
"sei freundlich und mutig. Vorpommerin. Grafikerin. Gärtnerin. Mama. MdL."	"6 keine Kategorie"
"Staatssekretärin a.D. @umwelthessen, Biologin"	"6 keine Kategorie"
"#MdB 20. Deutscher #Bundestag, stellv. Fraktionsvors. THERE IS NO SUCH THING AS „MY PRONOUN“ Tweets v. #BvS & Team. https://t.co/SJ6nKYW3cW"	"6 keine Kategorie"
"Fraktionsvorsitzender @GrueneLTBB & Sprecher für Justiz, Tierschutz/ Tierrechte. Mastodon: @ben_raschke@gruene.social"	"1 Grüne: ökonomisch neutral + libertär"
"MdL in Rheinland-Pfalz"	"6 keine Kategorie"
"SPD Bundestagsfraktion | stellv. Sprecher f. Klima & Energie | AfA Vorsitzender Schleswig-Holstein | Erdgas | Windenergie | Netzausbau | vegan"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Father of 3 sons / Minister & Head of State Chancellery @thueringende / @dielinke / my views / RT ≠ endorsements / Not the author of „The Tao of Pooh“ ???? ??✡️"	"0 Linke: ökonomisch links + libertär"
"Abgeordneter. Bürgermeister und Senator. Christdemokrat. Berlingestalter. Generalsekretär @cduberlin."	"3 CDU/CSU: ökonomisch neutral + autoritär"
"MdB Dr. Bernd #Baumann, Wirtschaftswissenschaftler, #AfD Hamburg, 1. Parlamentarischer Geschäftsführer der @AfDimBundestag| @AfD"	"5 AfD: ökonomisch rechts + autoritär"
"Rheinland-Pfälzer, Fraktionsmitglied von @grueneltrlp, #insGelingenverliebt"	"1 Grüne: ökonomisch neutral + libertär"
"Ich bin SPD Bundestagsabgeordneter (Kreis Warendorf), Mitglied im Finanzausschuss und Sprecher für Bauen, Wohnen, Stadtentwicklung und Kommunen."	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Mitglied des Bay. Landtags, Vorsitzender des Landessportbeirates, sportpolitischer Sprecher und Beisitzer im Vorstand der CSU-Landtagsfraktion"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Abgeordneter der @LinksfraktionB. Sprecher für Sportpolitik | Mitglied im Landesvorstand @dielinkeberlin"	"0 Linke: ökonomisch links + libertär"
"Ich bin ich!"	"6 keine Kategorie"
"Mitglied der Bremischen Bürgerschaft (seit 2019), Mitglied des Deutschen Bundestag (2013-2017), Impressum: https://t.co/6A2dGbL7kP…"	"6 keine Kategorie"
"MdB für den Märkischen Kreis ll / Mitglied im Sportausschuss l Mitglied im Auswärtigen Ausschuss l stellv. Mitglied im Ausschuss für wirts. Zusammenarbeit"	"6 keine Kategorie"
"Ministerin für Wissenschaft, Kultur, Bundes- und Europaangelegenheiten #MV | MdL südl. Vorpommern & Uckermark | hier privat unterwegs!"	"6 keine Kategorie"
"Fraktionsvorsitzende @gruenefraktionb | ?? für #Menschen #Klimaschutz #Zusammenhalt #ökosozial #ZeitFürGrün"	"1 Grüne: ökonomisch neutral + libertär"
"Hier twittert das Team der Pressestelle des Thüringer Ministeriums für Bildung, Jugend und Sport – Datenschutz: https://t.co/8wegVtWKGp…"	"6 keine Kategorie"
"Hier twittert die Pressestelle des Ministeriums für Bildung Rheinland-Pfalz. Impressum: https://t.co/DoNEbOFgOf Netiquette: https://t.co/JAXbkuxOlP Datenschutz: https://t.co/8cDxD031RO"	"6 keine Kategorie"
"Hier twittert das Social-Media-Team des Ministeriums für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur des Landes Schleswig-Holstein."	"6 keine Kategorie"
"Hier twittert das Presseteam des Ministeriums für Schule und Bildung des Landes Nordrhein-Westfalen."	"6 keine Kategorie"
"Abgeordnete @gruenebundestag ?? • Ausschuss für Inneres & Heimat • Ausschuss für Digitales • @MisbahKhan@gruene.social"	"1 Grüne: ökonomisch neutral + libertär"
"Landesvorsitzende #AfD #Brandenburg, Mitglied im Landtag Brandenburg + Kreistag Teltow-Fläming ??"	"5 AfD: ökonomisch rechts + autoritär"
